,Species,Genus,Family,Molecule_type,Organism_Name,kingdom,phylum,class,order,family,genus,species,strain
k141_100031_GMOREA0011,Spbetavirus SPbeta,Spbetavirus,Unknown,dsDNA,Bacillus phage SPBc2,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Spbetavirus,Spbetavirus SPbeta,Bacillus phage SPBc2
k141_100049_GMOREA0041-DNA,Beetrevirus B3,Beetrevirus,Unknown,dsDNA,Pseudomonas phage B3,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Beetrevirus,Beetrevirus B3,Pseudomonas phage B3
k141_10005_GMOREA0115-DNA,Privateervirus pv009,Privateervirus,Unknown,dsDNA,Cronobacter phage vB_CsaP_009,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Grimontviridae,Privateervirus,Privateervirus pv009,Cronobacter phage vB_CsaP_009
k141_100093_GMOREA0056,Schiekvirus EfV12,Schiekvirus,Herelleviridae,dsDNA,Enterococcus phage EfV12-phi1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Herelleviridae,Schiekvirus,Schiekvirus EfV12,Enterococcus phage EfV12-phi1
k141_100101_GMOREA0012,Kingevirus communis,Kingevirus,Crevaviridae,dsDNA,uncultured phage cr13_1,Viruses,Uroviricota,Caudoviricetes,Crassvirales,Crevaviridae,Kingevirus,Kingevirus communis,uncultured phage cr13_1
k141_100110_GMOREA0171-DNA,Leefvirus Leef,Leefvirus,Helgolandviridae,dsDNA,Polaribacter phage Leef_1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Helgolandviridae,Leefvirus,Leefvirus Leef,Polaribacter phage Leef_1
k141_100131_GMOREA0178-DNA,Leicestervirus CD382,Leicestervirus,Unknown,dsDNA,Clostridium phage phiCD38-2,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Leicestervirus,Leicestervirus CD111,Clostridium phage phiCD111
k141_10013_GMOREA0134-DNA,Listeria phage vB_LmoS_188,Unknown,Unknown,dsDNA,Listeria phage vB_LmoS_188,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Listeria phage vB_LmoS_188,unclassified Listeria phage vB_LmoS_188 subspecies/strain
k141_100145_GMOREA0010,Wanderervirus wanderer,Wanderervirus,Unknown,dsDNA,Paenibacillus phage Wanderer,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Wanderervirus,Wanderervirus wanderer,Paenibacillus phage Wanderer
k141_100150_GMOREA0041-DNA,Rockvillevirus phi4J1,Rockvillevirus,Unknown,dsDNA,Bacillus phage phi4J1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Rockvillevirus,Rockvillevirus phi4J1,Bacillus phage phi4J1
k141_10017_GMOREA0048-DNA,Labanvirus laban,Labanvirus,Duneviridae,dsDNA,Flavobacterium phage vB_FspS_laban6-1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Duneviridae,Labanvirus,Labanvirus laban,Flavobacterium phage vB_FspS_laban6-1
k141_100182_GMOREA0171-DNA,Toutatisvirus toutatis,Toutatisvirus,Unknown,dsDNA,Faecalibacterium phage FP_Toutatis,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Toutatisvirus,Toutatisvirus toutatis,Faecalibacterium phage FP_Toutatis
k141_100209_GMOREA0178-DNA,Punavirus RCS47,Punavirus,Unknown,dsDNA,Escherichia phage RCS47,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Punavirus,Punavirus RCS47,Escherichia phage RCS47
k141_100219_GMOREA0029,Lughvirus lugh,Lughvirus,Unknown,dsDNA,Faecalibacterium phage FP_Lugh,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Lughvirus,Lughvirus lugh,Faecalibacterium phage FP_Lugh
k141_10021_GMOREA0134-DNA,Phitrevirus phi3,Phitrevirus,Peduoviridae,dsDNA,Pseudomonas phage phi3,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Peduoviridae,Phitrevirus,Phitrevirus phi3,Pseudomonas phage phi3
k141_100266_GMOREA0178-DNA,Hagravirus HGTV1,Hagravirus,Halomagnusviridae,dsDNA,Halogranum tailed virus 1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Sozzivirus,Sozzivirus S11,Oenococcus phage phiS11
k141_100293_GMOREA0029,Phitrevirus phi3,Phitrevirus,Peduoviridae,dsDNA,Pseudomonas phage phi3,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Peduoviridae,Phitrevirus,Phitrevirus phi3,Pseudomonas phage phi3
k141_100305_GMOREA0124-DNA,Doucettevirus B22,Doucettevirus,Unknown,dsDNA,Propionibacterium phage B22,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Doucettevirus,Doucettevirus B22,Propionibacterium phage B22
k141_10034_GMOREA0103-DNA,Taranisvirus taranis,Taranisvirus,Unknown,dsDNA,Faecalibacterium phage FP_Taranis,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Taranisvirus,Taranisvirus taranis,Faecalibacterium phage FP_Taranis
k141_100360_GMOREA0044-DNA,Mycobacterium phage PhatBacter,Kostyavirus,Unknown,dsDNA,Mycobacterium phage PhatBacter,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Kostyavirus,Mycobacterium phage PhatBacter,unclassified Mycobacterium phage PhatBacter subspecies/strain
k141_100386_GMOREA0067-DNA,Astrithrvirus astrithr,Astrithrvirus,Unknown,dsDNA,Salmonella phage astrithr,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Lughvirus,Lughvirus lugh,Faecalibacterium phage FP_Lugh
k141_100398_GMOREA0012,Escherichia phage D6,Unknown,Unknown,dsDNA,Escherichia phage D6,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Escherichia phage D6,unclassified Escherichia phage D6 subspecies/strain
k141_1003_GMOREA0067-DNA,Clostridium phage phiCD211,Unknown,Unknown,dsDNA,Clostridium phage phiCD211,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Clostridium phage phiCD211,unclassified Clostridium phage phiCD211 subspecies/strain
k141_100428_GMOREA0178-DNA,Dabirmavirus hominis,Dabirmavirus,Intestiviridae,dsDNA,uncultured phage cr9_1,Viruses,Uroviricota,Caudoviricetes,Crassvirales,Intestiviridae,Dabirmavirus,Dabirmavirus hominis,uncultured phage cr9_1
k141_100439_GMOREA0056,Stenotrophomonas phage S1,Unknown,Unknown,dsDNA,Stenotrophomonas phage S1,Na,Na,Na,Na,Na,Na,Na,Na
k141_100451_GMOREA0142-DNA,Vimunumvirus ST147VIM1phi71,Vimunumvirus,Peduoviridae,dsDNA,Klebsiella phage ST147-VIM1phi7.1,Viruses,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Peduoviridae,Vimunumvirus,Vimunumvirus ST147VIM1phi71,Klebsiella phage ST147-VIM1phi7.1
k141_100455_GMOREA0004,Plasmavirus L2,Plasmavirus,Plasmaviridae,dsDNA,Plasmavirus L2,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,Plasmaviridae,Plasmavirus,Plasmavirus L2,unclassified Plasmavirus L2 subspecies/strain
