Sample	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_adapter	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-filtering_result_passed_filter_reads
GMOREA0004_1	99.57067352629485	0.945585	19.8351	0.481165	2.636881666457284	11879264654.0	83568806.0
GMOREA0006_1	99.68078876197308	0.94148	19.1861	0.445226	2.8424521670498093	12164714253.0	86006628.0
GMOREA0010_1	99.57571477515779	0.954668	21.610699999999998	0.493176	3.969733729920233	13608382283.0	95073594.0
GMOREA0011_1	99.60910115474074	0.951717	21.9465	0.511822	2.4397200620632615	14480308715.0	101185716.0
GMOREA0012_1	99.56571831509893	0.95246	21.8363	0.46616	2.3487394216267945	14102194673.0	98478156.0
GMOREA0023_1	99.55225274356987	0.951283	20.2957	0.441177	4.6664068233609175	12132411034.0	85222142.0
GMOREA0027_1	99.24409913078097	0.951892	21.583	0.517884	2.8371376538669275	14047323014.0	98259554.0
GMOREA0029_1	99.48764322381055	0.952208	21.6443	0.517423	1.6288554778488988	13037386161.0	90942950.0
GMOREA0036_1	99.6989854282134	0.954516	20.7509	0.459766	3.4451498226205834	12356306586.0	86234454.0
GMOREA0041-DNA_1	99.15827883167252	0.93587	7.793940000000001	0.510425	3.9928669053596084	9944327584.0	70894796.0
GMOREA0044-DNA_1	99.28483161367974	0.937028	8.17866	0.489452	4.673690868997162	11096701508.0	79107076.0
GMOREA0048-DNA_1	99.17457324960594	0.932901	8.20212	0.418954	4.650007099863536	9575611936.0	68571456.0
GMOREA0050-DNA_1	98.86479495140293	0.929408	8.87381	0.429356	6.509241028535268	11106109226.0	80307258.0
GMOREA0052-DNA_1	99.04697586197211	0.935666	7.91017	0.468047	4.509721180391083	11298492482.0	80616792.0
GMOREA0056_1	99.34275962106986	0.94833	19.905	0.442575	4.126531356856636	13400587224.0	94338384.0
GMOREA0061-DNA_1	99.19852268039004	0.937861	8.581669999999999	0.510588	5.3923565640776685	10534544109.0	75114034.0
GMOREA0067-DNA_1	99.10682169618357	0.93417	8.096499999999999	0.502694	3.6631183766322497	10528946079.0	75141484.0
GMOREA0070-DNA_1	98.80950024806707	0.934132	8.00717	0.480854	4.147699048053907	10706348919.0	76484960.0
GMOREA0080-DNA_1	99.00898369605177	0.932476	7.679819999999999	0.468714	3.48561589154427	9974989360.0	71342442.0
GMOREA0094-DNA_1	99.22316054546584	0.941471	8.50565	0.543561	6.356458316698572	11041363624.0	78611202.0
GMOREA0097-DNA_1	99.21540114229582	0.937199	8.22827	0.495346	6.372083284175789	10599660916.0	75888638.0
GMOREA0103-DNA_1	99.128622446518	0.936463	8.578660000000001	0.50053	4.574098815763822	11028323262.0	78649906.0
GMOREA0109-DNA_1	98.91781145783779	0.932164	8.769169999999999	0.411759	4.342083750833843	9733824904.0	69771524.0
GMOREA0113-DNA_1	99.19024620378264	0.938002	7.966049999999999	0.539821	5.580682580780899	10188104879.0	72678824.0
GMOREA0115-DNA_1	99.14247151566671	0.936717	7.83359	0.493404	3.2585854977461826	9808270523.0	69748892.0
GMOREA0117-DNA_1	99.17807710449816	0.936282	9.427240000000001	0.450107	9.476106093898066	9308706339.0	67085180.0
GMOREA0119-DNA_1	98.85643635063064	0.939803	8.480459999999999	0.53446	5.883393439746539	10145243281.0	72217804.0
GMOREA0120-DNA_1	98.83949503729087	0.93514	7.68384	0.483047	3.818876675329716	9966547815.0	71056478.0
GMOREA0124-DNA_1	99.27041230807903	0.937319	8.1243	0.494561	5.014436008816423	10208856114.0	72790006.0
GMOREA0134-DNA_1	98.97031707295072	0.933799	8.103779999999999	0.482859	3.7384587845522113	10635089561.0	75923420.0
GMOREA0142-DNA_1	99.13761647180655	0.934942	7.898560000000001	0.519198	9.408488712898224	11449422474.0	82789308.0
GMOREA0160-DNA_1	99.06271170185781	0.936323	8.28389	0.465051	4.3423606696672215	10446557112.0	74474782.0
GMOREA0168-DNA_1	99.20862367293276	0.940172	8.80138	0.499396	5.880271372880735	9301362384.0	66186442.0
GMOREA0171-DNA_1	99.25827236690058	0.936121	8.27816	0.47229	3.537718043575191	10100530500.0	71917480.0
GMOREA0172-DNA_1	99.15335712926799	0.937149	8.4173	0.496699	4.540929689886554	11163771038.0	79542356.0
GMOREA0173-DNA_1	99.04605848396231	0.933461	7.47869	0.483261	2.926593559525845	10262829536.0	73185404.0
GMOREA0178-DNA_1	99.2753378691017	0.936207	7.59201	0.50426	3.938870259651693	10208614855.0	72733842.0
R0016-CMW_1	99.49767694090956	0.96065	24.3794	0.48134	3.383263124581655	8488422887.0	58873458.0
R0018-LKC-DNA_1	99.11155508630176	0.953573	23.5861	0.425023	3.1102719606010654	5599158994.0	39103132.0
R0022-TWP-DNA_1	99.06848045538224	0.954118	23.9309	0.477195	2.706002058030626	5917564956.0	41271180.0
